path,label
data_feat/ucf_internvl_train_feature/Abuse/Abuse001_x264__0.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse001_x264__1.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse001_x264__2.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse001_x264__3.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse001_x264__4.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse001_x264__5.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse001_x264__6.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse001_x264__7.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse001_x264__8.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse001_x264__9.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse002_x264__0.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse002_x264__1.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse002_x264__2.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse002_x264__3.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse002_x264__4.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse002_x264__5.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse002_x264__6.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse002_x264__7.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse002_x264__8.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse002_x264__9.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse003_x264__0.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse003_x264__1.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse003_x264__2.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse003_x264__3.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse003_x264__4.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse003_x264__5.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse003_x264__6.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse003_x264__7.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse003_x264__8.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse003_x264__9.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse004_x264__0.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse004_x264__1.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse004_x264__2.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse004_x264__3.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse004_x264__4.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse004_x264__5.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse004_x264__6.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse004_x264__7.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse004_x264__8.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse004_x264__9.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse005_x264__0.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse005_x264__1.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse005_x264__2.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse005_x264__3.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse005_x264__4.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse005_x264__5.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse005_x264__6.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse005_x264__7.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse005_x264__8.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse005_x264__9.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse006_x264__0.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse006_x264__1.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse006_x264__2.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse006_x264__3.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse006_x264__4.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse006_x264__5.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse006_x264__6.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse006_x264__7.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse006_x264__8.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse006_x264__9.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse007_x264__0.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse007_x264__1.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse007_x264__2.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse007_x264__3.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse007_x264__4.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse007_x264__5.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse007_x264__6.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse007_x264__7.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse007_x264__8.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse007_x264__9.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse008_x264__0.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse008_x264__1.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse008_x264__2.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse008_x264__3.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse008_x264__4.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse008_x264__5.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse008_x264__6.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse008_x264__7.npy,Abuse
data_feat/ucf_internvl_train_feature/Abuse/Abuse008_x264__8.npy,Abuse
